Measure,Take Ten,chord_note,Time
1,Dmin7,D,0.0
1,G13,G,1.25
2,Dmin7,D,2.5
2,G13,G,3.75
3,Dmin7,D,5.0
3,G13,G,6.25
4,Dmin7,D,7.5
4,G13,G,8.75
5,Dmin7,D,10.0
5,G13,G,11.25
6,Dmin7,D,12.5
6,G13,G,13.75
7,Dmin7,D,15.0
7,G13,G,16.25
8,Dmin7,D,17.5
8,G13,G,18.75
9,Dmin7,D,20.0
9,G13,G,21.25
10,Bbmin7,Bb,22.5
10,Eb9,Eb,23.75
11,Abmin7,Ab,25.0
11,F7,F,26.25
12,Bbmin7,Bb,27.5
12,Eb9,Eb,28.75
13,Bbmin7,Bb,30.0
14,Gmin7,G,32.5
14,C9,C,33.75
15,Fmin7,F,35.0
15,D7,D,36.25
16,Gmin7,G,37.5
16,C9,C,38.75
17,Emin7,E,40.0
17,A7,A,41.25
18,Dmin7,D,42.5
18,G13,G,43.75
19,Dmin7,D,45.0
19,G13,G,46.25
20,Dmin7,D,47.5
20,G13,G,48.75
21,Dmin7,D,50.0
21,G13,G,51.25
22,Dmin7,D,52.5
22,G13,G,53.75
23,Dmin7,D,55.0
23,G13,G,56.25
24,Dmin7,D,57.5
24,G13,G,58.75
25,Dmin7,D,60.0
25,G13,G,61.25
26,Dmin7,D,62.5
26,G13,G,63.75
27,Dmin7,D,65.0
27,G13,G,66.25
28,Dmin7,D,67.5
28,G13,G,68.75
29,Dmin7,D,70.0
29,G13,G,71.25
30,Dmin7,D,72.5
30,G13,G,73.75
31,Dmin7,D,75.0
31,G13,G,76.25
32,Dmin7,D,77.5
